X,Y,Index_,event_unique_id,occurrencedate,reporteddate,premisetype,ucr_code,ucr_ext,offence,reportedyear,reportedmonth,reportedday,reporteddayofyear,reporteddayofweek,reportedhour,occurrenceyear,occurrencemonth,occurrenceday,occurrencedayofyear,occurrencedayofweek,occurrencehour,MCI,Division,Hood_ID,Neighbourhood,Long,Lat,ObjectId
-79.3718338,43.7179604,78391,GO-20161169549,2016-05-18T12:00:00.000Z,2016-07-04T16:27:00.000Z,Other,2130,210,Theft Over,2016,July,4,186,Monday    ,16,2016,May,18,139,Wednesday ,12,Theft Over,D53,41,Bridle Path-Sunnybrook-York Mills (41),-79.3718338,43.7179604,78785
-79.3896561,43.7246284,78942,GO-20161202574,2016-06-29T12:00:00.000Z,2016-07-09T15:03:00.000Z,House,2120,220,B&E W'Intent,2016,July,9,191,Saturday  ,15,2016,June,29,181,Wednesday ,12,Break and Enter,D53,41,Bridle Path-Sunnybrook-York Mills (41),-79.3896561,43.7246284,78800
-79.3884354,43.7190514,78992,GO-20162127864,2016-11-30T15:30:00.000Z,2016-11-30T21:01:00.000Z,House,2120,200,B&E,2016,November,30,335,Wednesday ,21,2016,November,30,335,Wednesday ,15,Break and Enter,D53,103,Lawrence Park South (103),-79.3884354,43.7190514,78860
-79.3780899,43.7167206,84609,GO-2016641867,2016-04-15T15:00:00.000Z,2016-04-15T18:43:00.000Z,Apartment,2120,200,B&E,2016,April,15,106,Friday    ,18,2016,April,15,106,Friday    ,15,Break and Enter,D53,41,Bridle Path-Sunnybrook-York Mills (41),-79.3780899,43.7167206,84030
-79.3630219,43.7158585,84902,GO-20161184310,2016-07-06T08:00:00.000Z,2016-07-07T10:21:00.000Z,Other,2120,200,B&E,2016,July,7,189,Thursday  ,10,2016,July,6,188,Wednesday ,8,Break and Enter,D53,56,Leaside-Bennington (56),-79.3630219,43.7158585,84130
-79.387443499999989,43.7215919,84897,GO-20161047320,2016-06-16T01:30:00.000Z,2016-06-16T08:20:00.000Z,House,2120,200,B&E,2016,June,16,168,Thursday  ,8,2016,June,16,168,Thursday  ,1,Break and Enter,D53,41,Bridle Path-Sunnybrook-York Mills (41),-79.3874435,43.7215919,84395
-79.4018402,43.72346120000001,84270,GO-20171328062,2017-02-01T12:00:00.000Z,2017-07-24T12:27:00.000Z,Other,2130,210,Theft Over,2017,July,24,205,Monday    ,12,2017,February,1,32,Wednesday ,12,Theft Over,D53,103,Lawrence Park South (103),-79.4018402,43.7234612,84839
-79.3740234,43.7169304,66046,GO-20161086063,2016-06-21T14:00:00.000Z,2016-06-22T09:28:00.000Z,House,2120,220,B&E W'Intent,2016,June,22,174,Wednesday ,9,2016,June,21,173,Tuesday   ,14,Break and Enter,D53,56,Leaside-Bennington (56),-79.3740234,43.7169304,66289
-79.4024048,43.7149925,66854,GO-20171038872,2017-06-11T15:34:00.000Z,2017-06-11T16:22:00.000Z,House,2120,200,B&E,2017,June,11,162,Sunday    ,16,2017,June,11,162,Sunday    ,15,Break and Enter,D53,103,Lawrence Park South (103),-79.4024048,43.7149925,66411
-79.3835449,43.720897699999988,66562,GO-2017697457,2017-04-10T08:00:00.000Z,2017-04-21T04:08:00.000Z,House,2120,200,B&E,2017,April,21,111,Friday    ,4,2017,April,10,100,Monday    ,8,Break and Enter,D53,41,Bridle Path-Sunnybrook-York Mills (41),-79.3835449,43.7208977,66531
